#,variety,lysimeter,day of year,hour,minute,ET,hour of year,minute of year
1,A1,lys9,199,0,0,0,199,199
2,A1,lys9,199,0,5,5,199,199.0034722
3,A1,lys9,199,0,10,NA,199,199.0069444
4,A1,lys9,199,0,15,NA,199,199.0104167
5,A1,lys9,199,0,20,10,199,199.0138889
6,A1,lys9,199,0,25,10,199,199.0173611
7,A1,lys9,199,0,30,NA,199,199.0208333
8,A1,lys9,199,0,35,5,199,199.0243056
9,A1,lys9,199,0,40,15,199,199.0277778
10,A1,lys9,199,0,45,10,199,199.03125
11,A1,lys9,199,0,50,0,199,199.0347222
12,A1,lys9,199,0,55,0,199,199.0381944
13,A1,lys9,199,1,0,NA,199.0416667,199.0416667
14,A1,lys9,199,1,5,10,199.0416667,199.0451389
15,A1,lys9,199,1,10,15,199.0416667,199.0486111
16,A1,lys9,199,1,15,NA,199.0416667,199.0520833
17,A1,lys9,199,1,20,0,199.0416667,199.0555556
18,A1,lys9,199,1,25,NA,199.0416667,199.0590278
19,A1,lys9,199,1,30,10,199.0416667,199.0625
20,A1,lys9,199,1,35,10,199.0416667,199.0659722
21,A1,lys9,199,1,40,0,199.0416667,199.0694444
22,A1,lys9,199,1,45,NA,199.0416667,199.0729167
23,A1,lys9,199,1,50,NA,199.0416667,199.0763889
24,A1,lys9,199,1,55,15,199.0416667,199.0798611
25,A1,lys9,199,2,0,5,199.0833333,199.0833333
26,A1,lys9,199,2,5,10,199.0833333,199.0868056
27,A1,lys9,199,2,10,NA,199.0833333,199.0902778
28,A1,lys9,199,2,15,0,199.0833333,199.09375
29,A1,lys9,199,2,20,NA,199.0833333,199.0972222
30,A1,lys9,199,2,25,10,199.0833333,199.1006944
31,A1,lys9,199,2,30,5,199.0833333,199.1041667
32,A1,lys9,199,2,35,NA,199.0833333,199.1076389
33,A1,lys9,199,2,40,NA,199.0833333,199.1111111
34,A1,lys9,199,2,45,15,199.0833333,199.1145833
35,A1,lys9,199,2,50,10,199.0833333,199.1180556
36,A1,lys9,199,2,55,5,199.0833333,199.1215278
37,A1,lys9,199,3,0,0,199.125,199.125
38,A1,lys9,199,3,5,0,199.125,199.1284722
39,A1,lys9,199,3,10,10,199.125,199.1319444
40,A1,lys9,199,3,15,10,199.125,199.1354167
41,A1,lys9,199,3,20,10,199.125,199.1388889
42,A1,lys9,199,3,25,0,199.125,199.1423611
43,A1,lys9,199,3,30,0,199.125,199.1458333
44,A1,lys9,199,3,35,NA,199.125,199.1493056
45,A1,lys9,199,3,40,15,199.125,199.1527778
46,A1,lys9,199,3,45,10,199.125,199.15625
47,A1,lys9,199,3,50,0,199.125,199.1597222
48,A1,lys9,199,3,55,NA,199.125,199.1631944
49,A1,lys9,199,4,0,NA,199.1666667,199.1666667
50,A1,lys9,199,4,5,10,199.1666667,199.1701389
51,A1,lys9,199,4,10,10,199.1666667,199.1736111
52,A1,lys9,199,4,15,5,199.1666667,199.1770833
53,A1,lys9,199,4,20,0,199.1666667,199.1805556
54,A1,lys9,199,4,25,0,199.1666667,199.1840278
55,A1,lys9,199,4,30,10,199.1666667,199.1875
56,A1,lys9,199,4,35,10,199.1666667,199.1909722
57,A1,lys9,199,4,40,10,199.1666667,199.1944444
58,A1,lys9,199,4,45,0,199.1666667,199.1979167
59,A1,lys9,199,4,50,NA,199.1666667,199.2013889
60,A1,lys9,199,4,55,NA,199.1666667,199.2048611
61,A1,lys9,199,5,0,15,199.2083333,199.2083333
62,A1,lys9,199,5,5,5,199.2083333,199.2118056
63,A1,lys9,199,5,10,5,199.2083333,199.2152778
64,A1,lys9,199,5,15,0,199.2083333,199.21875
65,A1,lys9,199,5,20,0,199.2083333,199.2222222
66,A1,lys9,199,5,25,NA,199.2083333,199.2256944
67,A1,lys9,199,5,30,10,199.2083333,199.2291667
68,A1,lys9,199,5,35,5,199.2083333,199.2326389
69,A1,lys9,199,5,40,5,199.2083333,199.2361111
70,A1,lys9,199,5,45,0,199.2083333,199.2395833
71,A1,lys9,199,5,50,0,199.2083333,199.2430556
72,A1,lys9,199,5,55,15,199.2083333,199.2465278
73,A1,lys9,199,6,0,10,199.25,199.25
74,A1,lys9,199,6,5,5,199.25,199.2534722
75,A1,lys9,199,6,10,0,199.25,199.2569444
76,A1,lys9,199,6,15,0,199.25,199.2604167
77,A1,lys9,199,6,20,NA,199.25,199.2638889
78,A1,lys9,199,6,25,10,199.25,199.2673611
79,A1,lys9,199,6,30,15,199.25,199.2708333
80,A1,lys9,199,6,35,NA,199.25,199.2743056
81,A1,lys9,199,6,40,0,199.25,199.2777778
82,A1,lys9,199,6,45,NA,199.25,199.28125
83,A1,lys9,199,6,50,20,199.25,199.2847222
84,A1,lys9,199,6,55,10,199.25,199.2881944
85,A1,lys9,199,7,0,NA,199.2916667,199.2916667
86,A1,lys9,199,7,5,NA,199.2916667,199.2951389
87,A1,lys9,199,7,10,NA,199.2916667,199.2986111
88,A1,lys9,199,7,15,20,199.2916667,199.3020833
89,A1,lys9,199,7,20,10,199.2916667,199.3055556
90,A1,lys9,199,7,25,NA,199.2916667,199.3090278
91,A1,lys9,199,7,30,0,199.2916667,199.3125
92,A1,lys9,199,7,35,10,199.2916667,199.3159722
93,A1,lys9,199,7,40,NA,199.2916667,199.3194444
94,A1,lys9,199,7,45,NA,199.2916667,199.3229167
